"Add %1 to Cart","Agregar %1 al Carrito"
"Show %1 more","Mostrar %1 más"
"Show details","Mostrar detalles"
"Show less","Mostrar menos"
"Show password","Mostrar contraseña"
"Skip to Content","Ir al contenido"
"Sort By","Ordenar por"
"Subtotal","Subtotal"
"View Cart","Ver Carrito"
"View and Edit Cart","Ver y Editar Carrito"
"What are you looking for?","¿Qué estás buscando?"
"You currently have no items in your wish list.","Actualmente no tienes artículos en tu lista de deseos."
"You have %1 item(s) in your cart","Tienes %1 artículo(s) en tu carrito"
"in stock","en stock"
"out of stock","agotado"
"Add to Wish List","Agregar a lista de deseos"
"Add to Compare","Agregar a comparar"
"My Account","Mi Cuenta"
"Sign In","Iniciar Sesión"
"Sign Out","Cerrar Sesión"
"Create an Account","Crear una Cuenta"
"Proceed to Checkout","Ir a Pagar"
"Continue shopping","Seguir comprando"
"Apply Discount Code","Aplicar código de descuento"
"View Order","Ver Pedido"
"My Orders","Mis Pedidos"
"My Wish List","Mi Lista de Deseos"
"Address Book","Libreta de Direcciones"
"Account Information","Información de la Cuenta"
"My Downloadable Products","Mis Productos Descargables"
"Newsletter Subscriptions","Suscripciones al Boletín"
"Stored Payment Methods","Métodos de Pago Guardados"
"My Product Reviews","Mis Reseñas de Productos"
"Default Billing Address","Dirección de Facturación Predeterminada"
"Default Shipping Address","Dirección de Envío Predeterminada"
"Recently Viewed Products","Productos Vistos Recientemente"
"Compare Products","Comparar Productos"
"Clear All","Limpiar Todo"
"Select your filters","Selecciona tus filtros"
"Set Ascending Direction","Orden Ascendente"
"Set Descending Direction","Orden Descendente"
"Show more filter options","Mostrar más opciones de filtro"
"Show more","Mostrar más"
"Show fewer filter options","Mostrar menos opciones de filtro"
"of","de"
"per page","por página"
"Product","Producto"
"Price","Precio"
"Details","Detalles"
"More Information","Más Información"
"Reviews","Reseñas"
"Write a Review","Escribir una Reseña"
"Be the first to review this product","Sé el primero en evaluar este producto"
"Description","Descripción"
"Additional information","Información Adicional"
"Availability","Disponibilidad"
"In stock","En stock"
"Out of stock","Agotado"
"SKU","SKU"
"Show submenu for %1 category","Mostrar submenú de %1"
"See all %1","Ver todos los %1"
"See all","Ver todo"
"Toggle minicart, Cart is empty","Carrito vacío"
"Toggle minicart, %1 items","Carrito, %1 artículos"
"Your cart is empty","Tu carrito está vacío"
"Close search","Cerrar búsqueda"
"Hide details","Ocultar detalles"
"Edit","Editar"
"Welcome","Bienvenido"
"Welcome, %1!","¡Bienvenido, %1!"
"or","o"
"Copyright","Derechos reservados"
"Newsletter","Boletín"
"Subscribe","Suscribirse"
"Enter your email address","Ingresa tu correo electrónico"
"Show","Mostrar"
"Filter","Filtrar"
"Company","Empresa"
"Legal","Legal"
"About","Quiénes Somos"
"Orders and Returns","Pedidos y Devoluciones"
"Search Terms","Términos de Búsqueda"
"Contact Us","Contacto"
"Privacy","Privacidad"
"Privacy Policy","Aviso de Privacidad"
"Terms and Conditions","Términos y Condiciones"
"Email Address","Correo Electrónico"
"Advanced Search","Búsqueda Avanzada"
"Default welcome msg!","¡Bienvenido a Estamos Pescando!"
"Shop By","Filtrar por"
"Shopping Cart","Carrito de Compras"
"Category","Categoría"
"Manufacturer","Marca"
"Color","Color"
"Size","Tamaño"
"Position","Posición"
"Home","Inicio"
"Relevance","Relevancia"
"Product Name","Nombre"
"You added %1 to your shopping cart.","Agregaste %1 a tu carrito de compras."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Agregaste %1 a tu <a href=""%2"">carrito de compras</a>."
"You added %1 product to your shopping cart.","Agregaste %1 producto a tu carrito de compras."
"You added %1 products to your shopping cart.","Agregaste %1 productos a tu carrito de compras."
"You added product %1 to the <a href=""%2"">comparison list</a>.","Agregaste el producto %1 a la <a href=""%2"">lista de comparación</a>."
"You added %1 item(s) to your shopping cart.","Agregaste %1 artículo(s) a tu carrito de compras."
"Items in Cart","Artículos en el Carrito"
"Summary","Resumen"
"Estimate Shipping and Tax","Calcular Envío e Impuestos"
"Discount Code","Código de Descuento"
"Apply Discount","Aplicar Descuento"
"Cancel coupon","Cancelar cupón"
"Enter discount code","Ingresa código de descuento"
"Order Total","Total del Pedido"
"Grand Total","Total"
"Tax","Impuestos"
"Shipping","Envío"
"Free Shipping","Envío Gratis"
"Flat Rate","Tarifa Fija"
"Update","Actualizar"
"Update Qty","Actualizar Cantidad"
"Cancel","Cancelar"
"Apply","Aplicar"
"Country","País"
"State/Province","Estado"
"Zip/Postal Code","Código Postal"
"Shipping Address","Dirección de Envío"
"Billing Address","Dirección de Facturación"
"Payment Method","Método de Pago"
"Shipping Method","Método de Envío"
"Place Order","Realizar Pedido"
"Order Summary","Resumen del Pedido"
"Review & Payments","Revisión y Pagos"
"Email","Correo Electrónico"
"Password","Contraseña"
"Confirm Password","Confirmar Contraseña"
"First Name","Nombre"
"Last Name","Apellido"
"Phone Number","Teléfono"
"Street Address","Dirección"
"City","Ciudad"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"Reset My Password","Restablecer Contraseña"
"Back to Sign In","Volver a Iniciar Sesión"
"Registered Customers","Clientes Registrados"
"New Customers","Nuevos Clientes"
"If you have an account, sign in with your email address.","Si tienes una cuenta, inicia sesión con tu correo electrónico."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchos beneficios: paga más rápido, guarda más de una dirección, rastrea tus pedidos y más."
"Wish List","Lista de Deseos"
"Share Wish List","Compartir Lista de Deseos"
"Add All to Cart","Agregar Todo al Carrito"
"Related Products","Productos Relacionados"
"We Also Recommend","También Recomendamos"
"More Choices","Más Opciones"
"Submit","Enviar"
"Save","Guardar"
"Save Address","Guardar Dirección"
"Delete","Eliminar"
"Confirm","Confirmar"
"No records found.","No se encontraron registros."
"We can't find products matching the selection.","No encontramos productos con la selección actual."
"Your order number is: %1.","Tu número de pedido es: %1."
"Your order # is: <span>%1</span>.","Tu pedido # es: <span>%1</span>."
"Thank you for your purchase!","¡Gracias por tu compra!"
"Continue Shopping","Seguir Comprando"
"We'll email you an order confirmation with details and tracking info.","Te enviaremos un correo de confirmación con los detalles y la información de rastreo."
"Print Receipt","Imprimir Recibo"
"Required Fields","Campos Obligatorios"
"This is a required field.","Este campo es obligatorio."
"Please wait...","Por favor espera..."
"Please wait, loading...","Por favor espera, cargando..."
"Sign up for our newsletter","Suscríbete a nuestro boletín"
"All rights reserved.","Todos los derechos reservados."
"Back","Regresar"
"Select Options","Seleccionar Opciones"
"Choose an Option...","Elige una opción..."
"Regular Price","Precio Regular"
"Special Price","Precio Especial"
"As low as","Desde"
"From","Desde"
"To","Hasta"
"Grid","Cuadrícula"
"List","Lista"
"items","artículos"
"item","artículo"
"Show %1 per page","Mostrar %1 por página"
"Close","Cerrar"
"Done","Listo"
"OK","Aceptar"
"Yes","Sí"
"No","No"
"Checkout","Pagar"
"View cart","Ver carrito"
"Secure Checkout","Pago Seguro"
"Share on Facebook","Compartir en Facebook"
"Share on Twitter","Compartir en Twitter"
"Share via Email","Compartir por correo"
"Print this page","Imprimir esta página"
"Customer Service","Servicio al Cliente"
"Shipping Information","Información de Envío"
"%1 Item(s)","%1 Artículo(s)"
"%1 item","%1 artículo"
"%1 items","%1 artículos"
"Reorder","Volver a Pedir"
"View All","Ver Todo"
"Shipping Methods","Métodos de Envío"
"Privacy and Cookie Policy","Política de Privacidad y Cookies"
"Please select a region, state or province.","Por favor selecciona una región, estado o provincia."
"Please select a region, state or province","Por favor selecciona una región, estado o provincia"
"Ship To","Enviar a"
"Ship to","Enviar a"
"New Address","Nueva Dirección"
"Update","Actualizar"
"Discount Code","Código de Descuento"
"Apply Discount Code","Aplicar Código de Descuento"
"Enter discount code","Ingresa código de descuento"
"Cancel coupon","Cancelar cupón"
"View and Edit Cart","Ver y Editar Carrito"
"Order Total","Total del Pedido"
"Subtotal","Subtotal"
"Cart Subtotal","Subtotal del Carrito"
"Tax","Impuestos"
"Review & Payments","Revisión y Pagos"
"Fixed","Fijo"
"Table Rate","Tarifa por Tabla"
"Flat Rate","Tarifa Fija"
"Free Shipping","Envío Gratis"
"Best Way","Mejor Opción"
"United Parcel Service","United Parcel Service"
"You already have an account with us. Sign in or continue as guest.","Ya tienes una cuenta con nosotros. Inicia sesión o continúa como invitado."
"Email you used to sign in:","Correo electrónico con el que te registraste:"
"Forgot your password?","¿Olvidaste tu contraseña?"
"Sign In","Iniciar Sesión"
"I agree to the Terms and Conditions","Acepto los Términos y Condiciones"
"Search entire store here...","Buscar en toda la tienda..."
"Enable Cookies","Habilitar Cookies"

"Update Shopping Cart","Actualizar Carrito de Compras"
"Excl. Tax","Sin Impuesto"
"Incl. Tax","Con Impuesto"
