"Compare","Comparar"
"Checkout using your account","Pagar con tu cuenta"
"Checkout as a new customer","Pagar como nuevo cliente"
"Customer Login","Inicio de Sesión"
"New Customers","Nuevos Clientes"
"Creating an account has many benefits:","Crear una cuenta tiene muchos beneficios:"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchos beneficios: paga más rápido, guarda más de una dirección, rastrea tus pedidos y más."
"Check out faster","Paga más rápido"
"See order and shipping status","Ver estado de pedido y envío"
"Track order history","Rastrear historial de pedidos"
"If you have an account, sign in with your email address.","Si tienes una cuenta, inicia sesión con tu correo electrónico."
"Forgot Your Password?","¿Olvidaste tu Contraseña?"
"Continue Shopping","Seguir Comprando"
"Click here to continue shopping.","Haz clic aquí para seguir comprando."
"Clear Shopping Cart","Vaciar Carrito"
"Go to Checkout","Ir a Pagar"
"Proceed to Checkout","Proceder al Pago"
"Apply Discount Code","Aplicar Código de Descuento"
"Apply Discount","Aplicar Descuento"
"Enter discount code","Ingresa código de descuento"
"Cancel Coupon","Cancelar Cupón"
"Cancel","Cancelar"
"Estimate Shipping and Tax","Estimar Envío e Impuestos"
"Estimate Tax","Estimar Impuesto"
"Enter your destination to get a shipping estimate.","Ingresa tu destino para obtener un estimado de envío."
"Enter your billing address to get a tax estimate.","Ingresa tu dirección de facturación para estimar impuestos."
"Shipping Methods","Métodos de Envío"
"Shipping Method","Método de Envío"
"Country","País"
"State/Province","Estado/Provincia"
"Please select a region, state or province.","Por favor selecciona una región, estado o provincia."
"Subtotal","Subtotal"
"Discount","Descuento"
"Discount Amount","Monto de Descuento"
"Tax","Impuesto"
"Order Total","Total del Pedido"
"Grand Total","Total"
"Excl. Tax","Sin Impuesto"
"Incl. Tax","Con Impuesto"
"Shipping","Envío"
"OK","Aceptar"
"Close","Cerrar"
"Close panel","Cerrar panel"
"Back","Regresar"
"Back to Sign In","Regresar a Inicio de Sesión"
"Continue","Continuar"
"Save","Guardar"
"Save Address","Guardar Dirección"
"Delete","Eliminar"
"Edit","Editar"
"Email","Correo Electrónico"
"Email Address","Correo Electrónico"
"Email Address:","Correo Electrónico:"
"Password","Contraseña"
"Password hidden","Contraseña oculta"
"Password shown","Contraseña visible"
"Show Password","Mostrar Contraseña"
"Hide Password","Ocultar Contraseña"
"Confirm Password","Confirmar Contraseña"
"Confirm New Password","Confirmar Nueva Contraseña"
"Confirm password hidden","Confirmación de contraseña oculta"
"Current Password","Contraseña Actual"
"New Password","Nueva Contraseña"
"Password Strength","Fortaleza de Contraseña"
"No Password","Sin Contraseña"
"Weak","Débil"
"Medium","Media"
"Strong","Fuerte"
"Very Strong","Muy Fuerte"
"Reset My Password","Restablecer Mi Contraseña"
"Set a New Password","Establecer Nueva Contraseña"
"Please enter your email address below to receive a password reset link.","Ingresa tu correo electrónico para recibir un enlace de restablecimiento de contraseña."
"Please enter your email below and we will send you the confirmation link.","Ingresa tu correo y te enviaremos el enlace de confirmación."
"Send confirmation link","Enviar enlace de confirmación"
"Account Information","Información de Cuenta"
"Contact Information","Información de Contacto"
"Edit contact information","Editar información de contacto"
"Edit newsletters","Editar boletines"
"Change Email","Cambiar Correo"
"Change Password","Cambiar Contraseña"
"Personal Information","Información Personal"
"Sign-in Information","Información de Inicio de Sesión"
"Sign Up for Newsletter","Suscribirse al Boletín"
"General Subscription","Suscripción General"
"Subscription option","Opción de suscripción"
"Newsletters","Boletines"
"Address Book","Libreta de Direcciones"
"Add New Address","Agregar Nueva Dirección"
"Address Information","Información de Dirección"
"Address","Dirección"
"Customer Address","Dirección del Cliente"
"Default Addresses","Direcciones Predeterminadas"
"Default Billing Address","Dirección de Facturación Predeterminada"
"Default Shipping Address","Dirección de Envío Predeterminada"
"Billing Address","Dirección de Facturación"
"Shipping Address","Dirección de Envío"
"Change Billing Address","Cambiar Dirección de Facturación"
"Change Shipping Address","Cambiar Dirección de Envío"
"Edit Address","Editar Dirección"
"Edit Address - billing default","Editar Dirección - facturación predeterminada"
"Edit Address - shipping default","Editar Dirección - envío predeterminada"
"Manage Addresses","Administrar Direcciones"
"Street Address","Calle"
"Street Address %1","Calle %1"
"City","Ciudad"
"Company","Empresa"
"Phone Number","Teléfono"
"Fax","Fax"
"Name","Nombre"
"My Orders","Mis Pedidos"
"Recent Orders","Pedidos Recientes"
"Last Ordered Items","Últimos Artículos Pedidos"
"Recently Ordered","Pedidos Recientes"
"Order #","Pedido #"
"Order # %1","Pedido # %1"
"Order ID","ID de Pedido"
"Order Information","Información del Pedido"
"Date","Fecha"
"Status","Estado"
"Ship To","Enviar a"
"Payment Method","Método de Pago"
"Items Ordered","Artículos Pedidos"
"Product Name","Nombre del Producto"
"SKU","SKU"
"Qty Invoiced","Cant. Facturada"
"Qty Shipped","Cant. Enviada"
"Row Total","Total de Fila"
"Ordered","Pedido"
"Shipped","Enviado"
"Canceled","Cancelado"
"Refunded","Reembolsado"
"Print Order","Imprimir Pedido"
"Print Invoice","Imprimir Factura"
"Print Shipment","Imprimir Envío"
"Print Refund","Imprimir Reembolso"
"Print All Invoices","Imprimir Todas las Facturas"
"Print All Shipments","Imprimir Todos los Envíos"
"Print All Refunds","Imprimir Todos los Reembolsos"
"Print receipt","Imprimir recibo"
"Reorder","Reordenar"
"Invoice #","Factura #"
"Shipment #","Envío #"
"Refund #","Reembolso #"
"About Your Order","Acerca de Tu Pedido"
"Gift Message","Mensaje de Regalo"
"Gift Message for This Order","Mensaje de Regalo para Este Pedido"
"Find Order By","Buscar Pedido Por"
"No shipping information available","No hay información de envío disponible"
"From","De"
"Login","Iniciar Sesión"
"* Required Fields","* Campos Obligatorios"
"Provided Zip/Postal Code seems to be invalid.","El código postal ingresado parece no ser válido."
"Product \"%1\" is not salable","El producto \"%1\" no está disponible"
"Select product \"%1\" to reorder","Seleccionar producto \"%1\" para reordenar"
"Add to cart selected products from list","Agregar al carrito productos seleccionados de la lista"
"Edit %1","Editar %1"
"Remove %1","Eliminar %1"
"Billing Last Name","Apellido de Facturación"
"Billing ZIP Code","Código Postal de Facturación"
"Go back","Regresar"
"If you believe it is the right one you can ignore this notice.","Si crees que es correcta puedes ignorar este aviso."
"%1 x","%1 x"
"View Order","Ver Pedido"
"View All","Ver Todo"
"Confirm","Confirmar"
"First Name","Nombre"
"Last Name","Apellido"
"Zip/Postal Code","Código Postal"
"Telephone","Teléfono"
"items","artículos"
"item","artículo"
"Item","Artículo"
"Items","Artículos"
"Update","Actualizar"
"Update Shopping Cart","Actualizar Carrito"
"Summary","Resumen"
"Order Summary","Resumen del Pedido"
"Cart Subtotal","Subtotal del Carrito"
"View and Edit Cart","Ver y Editar Carrito"
"Item in Cart","Artículo en Carrito"
"Items in Cart","Artículos en Carrito"
"Close minicart","Cerrar minicarrito"
"My Cart","Mi Carrito"
"See Details","Ver Detalles"
"Coupon Code","Código de Cupón"
"Apply","Aplicar"
"You used coupon code \"%1\".","Usaste el código de cupón \"%1\"."
"Your coupon was successfully applied.","Tu cupón fue aplicado exitosamente."
"The coupon code isn't valid. Verify the code and try again.","El código de cupón no es válido. Verifica el código e intenta de nuevo."
"Toggle minicart","Abrir minicarrito"
"Minicart","Minicarrito"
"Empty Cart","Carrito Vacío"
"You have no items in your shopping cart.","No tienes artículos en tu carrito de compras."
"Compare Products","Comparar Productos"
"Wish List","Lista de Deseos"
"Welcome","Bienvenido"
"Welcome, %1!","¡Bienvenido, %1!"
"Not you?","¿No eres tú?"
"Open menu","Abrir menú"
"Close menu","Cerrar menú"
"Menu","Menú"
"Account","Cuenta"
"Skip to Content","Ir al Contenido"
"Go to Home page","Ir a Página Principal"
"store logo","logo de tienda"
"Toggle search form","Abrir búsqueda"
"Compare Products (%1 Item)","Comparar Productos (%1 Artículo)"
"Compare Products (%1 Items)","Comparar Productos (%1 Artículos)"
"Compare Products (%1 Item)","Comparar Productos (%1 Artículo)"
"Compare Products (%1 Items)","Comparar Productos (%1 Artículos)"
"%1 of %2 products in cart displayed","%1 de %2 productos en carrito mostrados"
"Item","Artículo"
"Items","Artículos"
"Toggle minicart, %1","Abrir minicarrito, %1"
"The cart is empty","El carrito está vacío"
"Subscribe to Newsletter","Suscribirse al Boletín"
"Enter your email address","Ingresa tu correo electrónico"
"Subscribe","Suscribirse"
"Newsletter","Boletín"
"What are you looking for?","¿Qué estás buscando?"
"No results found","Sin resultados"
"Your search returned no results.","Tu búsqueda no arrojó resultados."
"Go to Home page","Ir a Página Principal"
"Skip to Content","Ir al Contenido"
"Toggle search form","Abrir búsqueda"
"Open menu","Abrir menú"
"Close menu","Cerrar menú"
"store logo","logo de tienda"
"Main menu","Menú Principal"
"Mobile Main Menu","Menú Móvil"
"Store","Tienda"
"Legal","Legal"
"Copyright","Derechos de Autor"
"All rights reserved.","Todos los derechos reservados."
"Ecommerce by","Ecommerce por"
"Update qty","Actualizar cantidad"
"Update quantity","Actualizar cantidad"
"Decrease the quantity","Disminuir la cantidad"
"Increase the quantity","Aumentar la cantidad"
"Actions","Acciones"
"Availability","Disponibilidad"
"Regular Price","Precio Regular"
"Special Price","Precio Especial"
"Related Products","Productos Relacionados"
"We Also Recommend","También Recomendamos"
"You may also like","También te puede gustar"
"More from this Category","Más de esta Categoría"
"Specifications","Especificaciones"
"Additional Information","Información Adicional"
"Compare Products list","Lista de Comparar Productos"
"My Wish List","Mi Lista de Deseos"
"Add to Wish List","Agregar a Lista de Deseos"
"Added to Wish List","Agregado a Lista de Deseos"
"Remove from Wish List","Eliminar de Lista de Deseos"
"Share Wish List","Compartir Lista de Deseos"
"You have no items in your wish list.","No tienes artículos en tu lista de deseos."
"Last Added Items","Últimos Artículos Agregados"
"Go to Wish List","Ir a Lista de Deseos"
"Required","Obligatorio"
"Please fill in the required fields","Por favor llena los campos obligatorios"
"This is a required field.","Este es un campo obligatorio."
"Please enter a valid email address (Ex: johndoe@domain.com).","Por favor ingresa un correo electrónico válido (Ej: usuario@dominio.com)."
"Please enter a valid email address.","Por favor ingresa un correo electrónico válido."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La longitud mínima de este campo debe ser igual o mayor a %1 caracteres. Los espacios al inicio y final serán ignorados."
"Please enter less or equal than %1 symbols.","Por favor ingresa %1 caracteres o menos."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Por favor ingresa una URL válida. Se requiere protocolo (http://, https:// o ftp://)."
"Passwords don't match.","Las contraseñas no coinciden."
"Your order number is: %1.","Tu número de pedido es: %1."
"Thank you for your purchase!","¡Gracias por tu compra!"
"We'll email you an order confirmation with details and tracking info.","Te enviaremos un correo de confirmación con detalles e información de rastreo."
"Continue Shopping","Seguir Comprando"
"Place Order","Realizar Pedido"
"Review & Payments","Revisión y Pagos"
"Shipping","Envío"
"Payment","Pago"
"Apply","Aplicar"
"Free","Gratis"
"Flat Rate","Tarifa Fija"
"Best Way","Mejor Opción"
"Table Rates","Tarifas por Tabla"
"Fixed","Fijo"
